"","rank","team","conf","rec","adj_o","adj_o_rk","adj_d","adj_d_rk","barthag","proj_rec","proj_conf_rec","wab","wab_rk","cur_rk","change","date","record","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record"
"18091",304,"UTSA","CUSA",NA,97.623845254972,263,108.608807190515,304,0.226837857981592,NA,NA,-3.93115461490918,232,NA,NA,"2022-12-28","6-6",68.8748735660943,169,"9.5-21.5","3.5-16.5"
"18092",305,"The Citadel","SC",NA,95.5686631009636,301,106.491408816385,275,0.223649777907046,NA,NA,-4.34542010110274,254,NA,NA,"2022-12-28","5-7",69.0082478934622,162,"11.3-19.7","5.7-12.3"
"18093",306,"Northern Illinois","MAC",NA,94.2469212363653,323,105.109783341341,246,0.221921656516789,NA,NA,-5.6964448078152,304,NA,NA,"2022-12-28","4-9",70.4019561387937,97,"11.1-19.9","6.1-11.9"
"18094",307,"Texas A&M Commerce","Slnd",NA,96.2734582913673,296,107.455620045967,286,0.220340967920109,NA,NA,-6.63816843284607,332,NA,NA,"2022-12-28","4-10",68.3927619116332,193,"13.3-18.7","9.3-8.7"
"18095",308,"Louisville","ACC",NA,92.727222849117,341,103.790043347418,221,0.214815126872775,NA,NA,-7.49278067855098,345,NA,NA,"2022-12-28","2-11",68.6692435949306,184,"3.9-27.1","1.9-18.1"
"18096",309,"USC Upstate","BSth",NA,97.9561647146902,259,109.695064552251,322,0.213892599901912,NA,NA,-3.58288783722177,211,NA,NA,"2022-12-28","5-6",67.5173648164388,234,"11-18","6-12"
"18097",310,"Oakland","Horz",NA,100.763662226739,203,112.860357941251,352,0.213527000190543,NA,NA,-7.40607705788826,344,NA,NA,"2022-12-28","2-11",70.3651428160598,99,"9.2-21.8","7.2-12.8"
"18098",311,"Miami OH","MAC",NA,101.920305035782,181,114.499858848303,361,0.207773685722548,NA,NA,-4.82107428169403,275,NA,NA,"2022-12-28","5-7",68.9008918709325,167,"11.8-19.2","5.8-12.2"
"18099",312,"Western Carolina","SC",NA,98.2959521650013,252,110.466633200698,331,0.207115220867733,NA,NA,-4.14924017192196,242,NA,NA,"2022-12-28","7-6",69.3539185214686,146,"12.4-18.6","5.4-12.6"
"18100",313,"Western Illinois","Sum",NA,96.9516803781637,278,109.066560508531,311,0.205205001542429,NA,NA,-2.72180093808416,169,NA,NA,"2022-12-28","8-4",69.0069906392457,163,"13.8-15.2","6.8-11.2"
"18101",314,"Valparaiso","MVC",NA,93.6297268640255,331,105.331601456148,248,0.205167630088297,NA,NA,-4.80143402940359,274,NA,NA,"2022-12-28","6-7",69.2684347902229,148,"10.4-20.6","4.4-15.6"
"18102",315,"Jackson St.","SWAC",NA,97.400701652712,269,109.731600344583,323,0.202483247242673,NA,NA,-6.95073776965408,339,NA,NA,"2022-12-28","1-12",71.1680120477595,62,"10.6-20.4","9.6-8.4"
"18103",316,"Presbyterian","BSth",NA,94.1817996621166,325,106.270624846387,270,0.199605398868826,NA,NA,-6.82791019894027,335,NA,NA,"2022-12-28","4-9",65.0264327372721,321,"9.7-21.3","5.7-12.3"
"18104",317,"Evansville","MVC",NA,91.3053440792202,348,103.10401158451,201,0.198199888534387,NA,NA,-6.33882143583873,327,NA,NA,"2022-12-28","4-9",69.9178946094562,116,"8.5-22.5","4.5-15.5"
"18105",318,"Lehigh","Pat",NA,94.350938042175,319,106.98873275161,280,0.190683264227765,NA,NA,-3.64952441426335,214,NA,NA,"2022-12-28","5-6",71.7710847378969,44,"11.6-17.4","6.6-11.4"
"18106",319,"Loyola MD","Pat",NA,91.7157892458966,344,104.030972831953,226,0.190165923993604,NA,NA,-6.00636044523355,312,NA,NA,"2022-12-28","5-8",66.1369623707735,291,"11.5-19.5","6.5-11.5"
"18107",320,"Alabama A&M","SWAC",NA,92.5689067046909,342,105.066855179532,244,0.189018411118612,NA,NA,-6.23041829105443,321,NA,NA,"2022-12-28","4-8",71.9639320452789,41,"13.2-17.8","9.2-8.8"
"18108",321,"Central Arkansas","ASun",NA,97.1336773479899,275,110.337159665302,330,0.1875962925289,NA,NA,-5.11828278730341,288,NA,NA,"2022-12-28","5-8",74.1920904474209,10,"9.8-21.2","4.8-13.2"
"18109",322,"Sacred Heart","NEC",NA,95.0962398568186,307,108.475653401688,299,0.180373693256308,NA,NA,-5.64783833002901,302,NA,NA,"2022-12-28","6-8",72.3239216893168,32,"15.6-15.4","8.7-7.3"
"18110",323,"Western Michigan","MAC",NA,97.2489051577977,272,110.941983256111,335,0.180208257212704,NA,NA,-6.03351791474716,314,NA,NA,"2022-12-28","4-8",66.3078878877538,283,"9.2-21.8","5.2-12.8"
"18111",324,"South Carolina St.","MEAC",NA,99.4662546072717,222,113.472202069128,357,0.180198425047429,NA,NA,-8.79169031972671,359,NA,NA,"2022-12-28","2-13",72.8298708930759,26,"6.3-20.7","4.3-7.7"
"18112",325,"Louisiana Monroe","SB",NA,95.1430947918142,305,108.748027814893,307,0.176972912668311,NA,NA,-6.48143806748674,330,NA,NA,"2022-12-28","4-9",68.8581724457735,172,"7.7-23.3","3.7-14.3"
"18113",326,"Manhattan","MAAC",NA,95.6538784932652,299,109.661458925768,321,0.1719870094024,NA,NA,-5.68320503481621,303,NA,NA,"2022-12-28","4-7",68.7441597906743,179,"9.1-19.9","7.1-12.9"
"18114",327,"Dartmouth","Ivy",NA,90.4036097137993,350,103.811633917232,222,0.169330546309269,NA,NA,-8.35856834110188,354,NA,NA,"2022-12-28","4-10",69.5079366682513,135,"7-21","3-11"
"18115",328,"Fairleigh Dickinson","NEC",NA,102.059581616867,175,117.310790922674,362,0.167757462616311,NA,NA,-5.93523934222953,310,NA,NA,"2022-12-28","6-8",70.8043975732482,77,"15.4-15.6","8.4-7.6"
"18116",329,"NJIT","AE",NA,93.4202614817328,334,107.47593953691,287,0.166335303501924,NA,NA,-8.23432373583582,352,NA,NA,"2022-12-28","3-10",66.825688901259,262,"8.3-20.7","5.3-10.7"
"18117",330,"New Hampshire","AE",NA,92.4997811986976,343,106.470951711697,274,0.165528110858963,NA,NA,-5.60021405095096,300,NA,NA,"2022-12-28","5-7",65.0115613852715,322,"10.3-17.7","5.3-10.7"
"18118",331,"Little Rock","OVC",NA,98.3116861777251,250,113.205076169482,355,0.164906065884144,NA,NA,-6.10233529074677,316,NA,NA,"2022-12-28","4-9",71.3370340234338,57,"10.9-20.1","6.9-11.1"
"18119",332,"Stony Brook","CAA",NA,94.953973014611,309,109.426627668143,317,0.163636920805643,NA,NA,-6.27302363231158,324,NA,NA,"2022-12-28","4-9",64.526777839373,333,"9.4-21.6","5.4-12.6"
"18120",333,"Hampton","CAA",NA,96.7208700240996,285,111.847580330397,343,0.158285527890032,NA,NA,-6.66931017159562,333,NA,NA,"2022-12-28","3-9",70.6055854077639,87,"8.4-22.6","5.2-12.8"
"18121",334,"Marist","MAAC",NA,90.2858057471703,351,104.475550527193,236,0.157269353528723,NA,NA,-6.13855929919554,319,NA,NA,"2022-12-28","4-7",66.594410748456,275,"8.6-20.4","4.6-15.4"
"18122",335,"Albany","AE",NA,96.5732083231039,289,111.910667960617,344,0.155106936223025,NA,NA,-6.73776933595647,334,NA,NA,"2022-12-28","5-10",69.340609581434,147,"10.1-20.9","5.1-10.9"
"18123",336,"St. Francis NY","NEC",NA,91.3499560381821,347,105.939440038491,262,0.153949711245179,NA,NA,-4.18621722463013,244,NA,NA,"2022-12-28","6-6",66.8192930822594,266,"14.9-14.1","8-8"
"18124",337,"Arkansas Pine Bluff","SWAC",NA,93.1348719322596,337,108.076381198471,297,0.153023736686173,NA,NA,-4.38198753794141,257,NA,NA,"2022-12-28","4-9",71.6339701959297,49,"11.7-19.3","7.7-10.3"
"18125",338,"Incarnate Word","Slnd",NA,92.890621331237,338,108.490003533385,301,0.143661424827301,NA,NA,-4.99060802653469,284,NA,NA,"2022-12-28","6-7",67.7493179394828,223,"13.2-17.8","7.2-10.8"
"18126",339,"Alabama St.","SWAC",NA,92.8183139300372,339,108.545103747359,303,0.141850950803092,NA,NA,-6.48118149027963,329,NA,NA,"2022-12-28","1-11",69.3638572018463,144,"8.8-21.2","7.8-10.2"
"18127",340,"UT Rio Grande Valley","WAC",NA,95.6319201071747,300,111.990928510408,346,0.139917063009959,NA,NA,-2.08608540509308,136,NA,NA,"2022-12-28","8-4",74.8422368626873,5,"11.1-19.9","2.7-15.3"
"18128",341,"Eastern Illinois","OVC",NA,91.6072042885349,346,107.483934052766,288,0.137280672060809,NA,NA,-6.28981006312534,326,NA,NA,"2022-12-28","4-9",69.5347179838035,133,"10-21","6-12"
"18129",342,"Central Connecticut","NEC",NA,94.5407708870885,317,111.040989483201,339,0.135874702093232,NA,NA,-9.49082801210328,362,NA,NA,"2022-12-28","2-12",66.0625008497407,293,"10.1-20.9","7.4-8.6"
"18130",343,"Stonehill","NEC",NA,95.3985372807898,303,112.225468069376,349,0.133757415747196,NA,NA,-6.89045850829635,337,NA,NA,"2022-12-28","4-10",70.6498687737387,84,"12-19","7.3-8.7"
"18131",344,"Elon","CAA",NA,94.3181573216027,320,110.969989023944,337,0.133571824122927,NA,NA,-8.6655716833197,358,NA,NA,"2022-12-28","2-11",69.5692242359301,130,"5.9-25.1","3.9-14.1"
"18132",345,"VMI","SC",NA,96.4262458501842,292,113.507855813466,358,0.132897771889025,NA,NA,-6.22311323120775,320,NA,NA,"2022-12-28","5-8",69.0394218859373,161,"8.6-22.4","3.6-14.4"
"18133",346,"McNeese St.","Slnd",NA,94.2366765564028,324,110.977398224948,338,0.132337568994826,NA,NA,-5.41795666111404,296,NA,NA,"2022-12-28","3-10",66.75832905272,268,"9.8-21.2","6.8-11.2"
"18134",347,"New Orleans","Slnd",NA,93.2431726735422,336,109.925760348517,327,0.130921505237316,NA,NA,-4.98715455416173,283,NA,NA,"2022-12-28","3-8",72.5718483584463,29,"9.8-19.2","6.8-11.2"
"18135",348,"Columbia","Ivy",NA,89.5503977909531,354,105.604907051569,253,0.130517875526844,NA,NA,-8.04894682487357,351,NA,NA,"2022-12-28","5-10",69.3605787224251,145,"7.3-21.7","2.3-11.7"
"18136",349,"Binghamton","AE",NA,95.4154261376782,302,114.039979676219,360,0.113996673170595,NA,NA,-6.60679447390664,331,NA,NA,"2022-12-28","4-8",68.4984360711596,191,"8-21","4-12"
"18137",350,"Bethune Cookman","SWAC",NA,93.4844265957979,332,111.986315419416,345,0.111383069330777,NA,NA,-5.96702812392793,311,NA,NA,"2022-12-28","4-8",69.503251613398,136,"10.5-20.5","6.5-11.5"
"18138",351,"Merrimack","NEC",NA,83.684431559767,362,100.338620277744,138,0.110344827950673,NA,NA,-8.81339943539035,360,NA,NA,"2022-12-28","2-12",67.3570387336599,240,"9.1-21.9","6.5-9.5"
"18139",352,"Houston Christian","Slnd",NA,97.1595899254327,274,117.827376475158,363,0.0981495631015177,NA,NA,-7.31260964828324,342,NA,NA,"2022-12-28","3-10",72.0938595453527,38,"8.6-22.4","5.6-12.4"
"18140",353,"Green Bay","Horz",NA,90.6213478854695,349,110.881427630822,334,0.0894496440391072,NA,NA,-7.87847493121125,350,NA,NA,"2022-12-28","2-11",67.1660506238703,251,"4.8-26.2","3.8-16.2"
"18141",354,"Monmouth","CAA",NA,90.0575055051116,352,110.24321130835,328,0.0890113955039769,NA,NA,-8.98747166866329,361,NA,NA,"2022-12-28","1-13",70.8306231228096,76,"4.2-26.8","3.2-14.8"
"18142",355,"Holy Cross","Pat",NA,90.0462386179214,353,110.25750782307,329,0.0887740868470461,NA,NA,-8.37040747465405,355,NA,NA,"2022-12-28","3-10",68.2162973349382,204,"6.4-24.6","3.4-14.6"
"18143",356,"Lindenwood","OVC",NA,88.1022401819776,357,109.170209587256,314,0.0782966947588164,NA,NA,-5.14264429477566,290,NA,NA,"2022-12-28","5-8",70.7166038831184,81,"8.8-22.2","3.8-14.2"
"18144",357,"LIU Brooklyn","NEC",NA,88.1022248529256,358,109.753643852838,325,0.0739858700338255,NA,NA,-6.42746839167566,328,NA,NA,"2022-12-28","2-10",73.87232504651,16,"6.8-21.2","4.8-11.2"
"18145",358,"Mississippi Valley St.","SWAC",NA,87.3540903811053,360,109.170131702999,313,0.0715059770059536,NA,NA,-7.49408983989775,346,NA,NA,"2022-12-28","1-13",66.8134522307576,267,"5.4-26.6","4.4-13.6"
"18146",359,"Lamar","Slnd",NA,89.2823244361835,355,112.879213736377,353,0.0631553270880614,NA,NA,-7.13954211670342,341,NA,NA,"2022-12-28","4-9",68.1986800313991,205,"7.9-23.1","3.9-14.1"
"18147",360,"Delaware St.","MEAC",NA,87.5986905197866,359,110.956383771401,336,0.0619039669591509,NA,NA,-7.78473838045685,349,NA,NA,"2022-12-28","1-11",68.8487442697057,173,"4.2-22.8","1.8-10.2"
"18148",361,"IUPUI","Horz",NA,89.0857932045144,356,113.844673628731,359,0.0562421027425046,NA,NA,-8.27481568970875,353,NA,NA,"2022-12-28","3-10",67.6440239552605,230,"5.2-25.8","2.2-17.8"
"18149",362,"Florida A&M","SWAC",NA,83.4731972432936,363,107.518659734406,290,0.0516077437448204,NA,NA,-4.36050680657557,255,NA,NA,"2022-12-28","2-8",67.2013598637752,248,"5.6-23.4","3.6-14.4"
"18150",363,"Hartford","ind",NA,84.8859075151135,361,112.518994582988,350,0.0376566941878756,NA,NA,-9.49962845134734,363,NA,NA,"2022-12-28","4-11",67.1822569749048,250,"5.8-22.2","0.2-1.8"
"18151",1,"Houston","Amer",NA,114.194416663254,15,81.5937387321195,2,0.979482045797272,NA,NA,2.82438278703793,6,NA,NA,"2022-12-29","13-1",63.6906231539008,347,"28.9-2.1","16.9-1.1"
"18152",2,"Tennessee","SEC",NA,106.432249356362,87,80.4823338842996,1,0.961354600390824,NA,NA,2.2081585071225,9,NA,NA,"2022-12-29","11-2",68.1787967754452,203,"26.2-4.8","15.4-2.6"
"18153",3,"UCLA","P12",NA,117.255293925568,6,88.9442108692438,10,0.959996343857353,NA,NA,1.82384893159172,13,NA,NA,"2022-12-29","11-2",68.81884336065,172,"26-5","17-3"
"18154",4,"Connecticut","BE",NA,115.164389711211,10,87.4288208413996,6,0.959637689582614,NA,NA,3.90302091398024,1,NA,NA,"2022-12-29","14-0",69.5698528923274,134,"28.2-2.8","17.2-2.8"
"18155",5,"Kansas","B12",NA,113.262794846796,17,89.089849039047,13,0.940517682701754,NA,NA,3.22171204442792,4,NA,NA,"2022-12-29","11-1",69.9744116420008,117,"23.8-7.2","12.2-5.8"
"18156",6,"Saint Mary's","WCC",NA,110.080101919256,39,86.8042105385849,4,0.938880742344429,NA,NA,0.0604480488397585,55,NA,NA,"2022-12-29","11-4",64.5251283129225,334,"24.5-6.5","13.5-2.5"
"18157",7,"Arizona","P12",NA,123.555377148695,1,97.6856303359835,96,0.937129965472368,NA,NA,3.12813506375638,5,NA,NA,"2022-12-29","12-1",74.387162325904,9,"26-5","15-5"
"18158",8,"Purdue","B10",NA,116.424613016892,8,92.3580507508752,36,0.93481184448567,NA,NA,3.71935350298426,2,NA,NA,"2022-12-29","13-0",65.1278870681757,319,"26.2-4.8","15.2-4.8"
"18159",9,"Texas","B12",NA,112.554530169569,19,90.6547406176302,21,0.923322143625493,NA,NA,1.25578007318477,22,NA,NA,"2022-12-29","11-1",68.5955836769619,184,"22.3-8.7","11.1-6.9"
"18160",10,"Alabama","SEC",NA,111.874268981617,22,90.4002192788271,19,0.92063329991272,NA,NA,3.2247579332251,3,NA,NA,"2022-12-29","11-2",75.4094157177523,2,"23.7-7.3","13.1-4.9"
"18161",11,"Marquette","BE",NA,118.284792768279,3,96.136124735234,74,0.91562190703822,NA,NA,0.292016152908537,50,NA,NA,"2022-12-29","10-4",71.2079240273226,62,"22.1-8.9","14.1-5.9"
"18162",12,"West Virginia","B12",NA,114.475695166432,13,93.6723338784178,47,0.909408661219963,NA,NA,1.3138323384673,20,NA,NA,"2022-12-29","10-2",69.2562454378569,153,"21-10","10.3-7.7"
"18163",13,"San Diego St.","MWC",NA,108.49162920581,58,88.7866465586984,9,0.909292164568689,NA,NA,1.18636622235755,25,NA,NA,"2022-12-29","10-3",70.6257331585234,82,"22.5-7.5","13.5-4.5"
"18164",14,"Arkansas","SEC",NA,108.236921098349,61,89.0729064016653,12,0.903869148692957,NA,NA,1.20230159297147,24,NA,NA,"2022-12-29","11-2",72.2179483250862,35,"22.6-8.4","11.2-6.8"
"18165",15,"Gonzaga","WCC",NA,117.524774024636,5,96.7878645803104,81,0.903127375581657,NA,NA,2.09667458881984,11,NA,NA,"2022-12-29","11-3",71.5090464856816,53,"24.2-6.8","12.2-3.8"
"18166",16,"Duke","ACC",NA,111.064631096983,31,91.7402325781639,29,0.900091315039187,NA,NA,1.01002772436893,28,NA,NA,"2022-12-29","10-3",66.6447424197945,273,"22.6-8.4","13.6-6.4"
"18167",17,"Baylor","B12",NA,111.408502776837,26,92.133659733584,32,0.898856037297531,NA,NA,1.67489187897617,14,NA,NA,"2022-12-29","10-2",70.5228681331325,89,"20.4-10.6","9.7-8.3"
"18168",18,"Ohio St.","B10",NA,117.833847233862,4,98.0854276120484,102,0.891825286559438,NA,NA,0.51374487062731,40,NA,NA,"2022-12-29","9-3",67.8652541435062,223,"20.3-10.7","12.3-7.7"
"18169",19,"Memphis","Amer",NA,111.02332643912,32,92.6327701586598,39,0.889202386153181,NA,NA,1.18027419266573,26,NA,NA,"2022-12-29","11-3",72.113073649557,40,"23-8","13-5"
"18170",20,"Rutgers","B10",NA,101.517617431994,190,84.7972710014085,3,0.887917480005723,NA,NA,-1.16880692806801,89,NA,NA,"2022-12-29","8-4",67.9540728947013,217,"20.3-10.7","12.3-7.7"
"18171",21,"Virginia Tech","ACC",NA,113.258359542671,18,94.7464223916457,57,0.886187495859125,NA,NA,1.02323783391595,27,NA,NA,"2022-12-29","11-2",66.4756595899677,278,"23.6-7.4","13.6-6.4"
"18172",22,"Auburn","SEC",NA,106.748096249241,84,89.5005225408237,16,0.883563240177243,NA,NA,1.41065969130386,18,NA,NA,"2022-12-29","11-2",69.0841247527929,158,"21.7-9.3","11.4-6.6"
"18173",23,"Xavier","BE",NA,116.666804332962,7,97.9256237015694,99,0.882239292888456,NA,NA,1.4761805676462,17,NA,NA,"2022-12-29","11-3",72.8758315949674,24,"21.6-9.4","13.6-6.4"
"18174",24,"Oklahoma St.","B12",NA,106.299026646897,90,89.3141830237573,14,0.881017601315565,NA,NA,-0.836762078309746,80,NA,NA,"2022-12-29","8-4",69.2389558098788,155,"17.7-13.3","8.9-9.1"
"18175",25,"Virginia","ACC",NA,110.424331529589,35,92.7962545029588,41,0.880810579183185,NA,NA,1.5334806847548,16,NA,NA,"2022-12-29","9-2",61.630959384186,361,"22.1-6.9","14.1-5.9"
"18176",26,"New Mexico","MWC",NA,112.060185787779,21,94.3009925104528,50,0.879134594464787,NA,NA,2.47728395980984,7,NA,NA,"2022-12-29","13-0",72.6565352368138,31,"25.7-5.3","12.9-5.1"
"18177",27,"Creighton","BE",NA,109.651850350854,42,92.6281924803847,38,0.874378859168757,NA,NA,-0.940125164406466,83,NA,NA,"2022-12-29","8-6",70.2468475881063,101,"18.5-12.5","12.5-7.5"
"18178",28,"Indiana","B10",NA,108.586480771628,53,92.2760228671055,35,0.866662909552256,NA,NA,0.919112648976546,30,NA,NA,"2022-12-29","10-3",69.9915867977145,115,"20.1-10.9","11.1-8.9"
"18179",29,"Utah St.","MWC",NA,114.473683878617,14,97.357971605387,88,0.865579815476936,NA,NA,0.724275792559449,33,NA,NA,"2022-12-29","11-2",71.4717494007116,55,"23.2-7.8","12.2-5.8"
"18180",30,"Kentucky","SEC",NA,108.878074719964,51,92.6424377333596,40,0.864951037434526,NA,NA,-0.39587978265346,67,NA,NA,"2022-12-29","8-4",68.0151755763057,213,"19.2-11.8","9.8-8.2"
"18181",31,"Maryland","B10",NA,109.96912714607,40,93.6189618686842,46,0.864258227128563,NA,NA,0.704062919629292,34,NA,NA,"2022-12-29","10-3",67.7436044214857,225,"20.4-10.6","11.4-8.6"
"18182",32,"Texas Tech","B12",NA,106.91879958218,78,91.0893324784165,24,0.863259819515953,NA,NA,-0.185589845538289,60,NA,NA,"2022-12-29","10-2",69.362159544967,142,"18.8-12.2","8.2-9.8"
"18183",33,"Florida Atlantic","CUSA",NA,108.148040349305,64,92.1404082826505,33,0.863203444860011,NA,NA,1.39898802977364,19,NA,NA,"2022-12-29","12-1",68.4610617149984,191,"26.3-4.7","16.3-3.7"
"18184",34,"Missouri","SEC",NA,120.653522233232,2,103.024824315471,197,0.860140771206186,NA,NA,1.91170784703542,12,NA,NA,"2022-12-29","12-1",72.8842378193366,23,"22.5-8.5","10.8-7.2"
"18185",35,"North Carolina","ACC",NA,114.604402120145,11,98.095496643121,103,0.856775758625999,NA,NA,0.74758642448077,31,NA,NA,"2022-12-29","9-4",69.6327300721123,128,"20.7-10.3","12.7-7.3"
"18186",36,"Illinois","B10",NA,107.641586175019,67,92.1573867118106,34,0.856443054851898,NA,NA,-0.0621629962716975,58,NA,NA,"2022-12-29","9-4",71.5270652512444,52,"19.2-11.8","10.2-9.8"
"18187",37,"Utah","P12",NA,105.135624864714,108,90.2956923752474,18,0.851934689138789,NA,NA,-0.576070634841951,72,NA,NA,"2022-12-29","10-4",69.2537749999555,154,"20.1-10.9","13.1-6.9"
"18188",38,"North Carolina St.","ACC",NA,111.658090500067,23,96.1276402420185,73,0.84842385858567,NA,NA,0.113078472765698,53,NA,NA,"2022-12-29","11-3",71.1993261422053,63,"21.3-9.7","11.3-8.7"
"18189",39,"Wisconsin","B10",NA,103.937256734097,126,89.5902036958871,17,0.846606113730393,NA,NA,2.10122249675051,10,NA,NA,"2022-12-29","9-2",64.0414715850134,344,"19.9-10.1","12-8"
"18190",40,"TCU","B12",NA,106.393639911834,88,91.7086878415572,28,0.846587066769207,NA,NA,0.694459576175587,35,NA,NA,"2022-12-29","11-1",71.0022244011567,67,"19-12","7.6-10.4"
"18191",41,"Oklahoma","B12",NA,110.514210806591,34,95.3081467571826,62,0.84583899515308,NA,NA,0.324564140708204,49,NA,NA,"2022-12-29","9-3",64.3805688073615,338,"17-14","7.6-10.4"
"18192",42,"Kent St.","MAC",NA,103.084962921798,146,88.9745044176689,11,0.844597571087924,NA,NA,0.56222046813677,38,NA,NA,"2022-12-29","10-3",70.7105292579773,80,"25.7-5.3","15.7-2.3"
"18193",43,"Florida","SEC",NA,106.322035385689,89,91.8664331522226,30,0.842980492820176,NA,NA,-1.68014661151846,116,NA,NA,"2022-12-29","7-6",72.0127476627927,43,"17.3-13.7","9.9-8.1"
"18194",44,"Kansas St.","B12",NA,107.577154676694,69,93.1418989153368,44,0.839830587126433,NA,NA,1.2620011235012,21,NA,NA,"2022-12-29","11-1",69.4450938746302,138,"19-12","7.4-10.6"
"18195",45,"Penn St.","B10",NA,109.51300059107,43,94.8201378663429,58,0.839795429621369,NA,NA,0.102148540141756,54,NA,NA,"2022-12-29","10-3",66.8416727732867,262,"19.2-11.8","10.2-9.8"
"18196",46,"Iona","MAAC",NA,109.001070253752,48,94.4591896050202,52,0.838442228332134,NA,NA,-1.03411790056354,84,NA,NA,"2022-12-29","9-4",71.0854514867222,65,"25.1-5.9","18.1-1.9"
"18197",47,"UCF","Amer",NA,104.944068711757,114,91.0435719705184,23,0.836720582538644,NA,NA,0.0045549656829752,57,NA,NA,"2022-12-29","10-3",63.0938151885731,354,"20.9-9.1","11.9-6.1"
"18198",48,"UAB","CUSA",NA,111.188254498351,30,96.5208154456567,79,0.83573899674171,NA,NA,0.219244393590767,52,NA,NA,"2022-12-29","11-2",74.7265983545482,5,"24.4-6.6","15.4-4.6"
"18199",49,"Oregon","P12",NA,108.737502364547,52,94.5359649900634,54,0.833341759718531,NA,NA,-1.35069126176614,99,NA,NA,"2022-12-29","7-6",68.0744889145688,209,"17.5-13.5","11.5-8.5"
"18200",50,"Iowa St.","B12",NA,101.423528014057,192,88.3901182960821,8,0.829454557647272,NA,NA,0.615408583328604,37,NA,NA,"2022-12-29","9-2",66.2973779752388,286,"16.4-13.6","7.1-10.9"
"18201",51,"Miami FL","ACC",NA,115.25235259853,9,100.604049785569,144,0.826813941041708,NA,NA,2.31925094927672,8,NA,NA,"2022-12-29","12-1",69.6297572193964,129,"22.1-7.9","13.1-6.9"
"18202",52,"Mississippi St.","SEC",NA,100.230520477494,214,87.6002229727597,7,0.824758520795412,NA,NA,0.7406440656896,32,NA,NA,"2022-12-29","11-2",64.4611221141686,337,"20.4-10.6","8.8-9.2"
"18203",53,"College of Charleston","CAA",NA,110.925323121394,33,97.0355117779251,85,0.82324252937055,NA,NA,1.59199044463346,15,NA,NA,"2022-12-29","13-1",71.8177325291606,46,"27.7-3.3","15.7-2.3"
"18204",54,"Iowa","B10",NA,113.550471714214,16,99.4560833139866,127,0.821142809700582,NA,NA,-1.36895529629668,103,NA,NA,"2022-12-29","8-5",71.6870068814185,49,"16.7-14.3","8.7-11.3"
"18205",55,"Marshall","SB",NA,108.953132749061,50,95.6184192617902,69,0.817776028010209,NA,NA,-0.166705973005535,59,NA,NA,"2022-12-29","12-2",72.6886718515592,30,"25.7-5.3","14.7-3.3"
"18206",56,"Northwestern","B10",NA,99.2054303618255,236,87.1051642241007,5,0.816959291395547,NA,NA,0.528345359763794,39,NA,NA,"2022-12-29","10-2",67.3288316995226,243,"18.9-12.1","9.9-10.1"
"18207",57,"UNLV","MWC",NA,104.606660654434,118,92.0596518704407,31,0.81296015155161,NA,NA,0.472300088246939,42,NA,NA,"2022-12-29","11-2",70.9611995326142,69,"20.9-9.1","9.9-8.1"
"18208",58,"Dayton","A10",NA,102.30177111617,169,90.4079374420126,20,0.805548645273881,NA,NA,-1.65326010882856,115,NA,NA,"2022-12-29","9-5",64.8857807354714,326,"21.8-9.2","13.8-4.2"
"18209",59,"Colorado","P12",NA,109.050657815465,47,96.4839338506937,78,0.803452544775718,NA,NA,-1.04669809412441,85,NA,NA,"2022-12-29","9-5",71.4915214029412,54,"18.3-12.7","10.3-9.7"
"18210",60,"Arizona St.","P12",NA,104.403299091047,121,92.5569090271102,37,0.79979798652407,NA,NA,1.25227777191582,23,NA,NA,"2022-12-29","11-2",68.4793587240652,189,"20.3-10.7","11.3-8.7"
"18211",61,"Seton Hall","BE",NA,102.764809271243,156,91.1756776024704,25,0.79835268282012,NA,NA,-1.86312101893517,124,NA,NA,"2022-12-29","7-7",68.4622933555855,190,"16.1-14.9","9.1-10.9"
"18212",62,"Michigan St.","B10",NA,108.212620380976,62,96.1383110417228,75,0.79585170469273,NA,NA,0.344260090734216,48,NA,NA,"2022-12-29","8-4",65.2802825617799,316,"16.7-14.3","8.8-11.2"
"18213",63,"Boise St.","MWC",NA,100.618164023759,205,89.3947227973298,15,0.795778905983183,NA,NA,-0.725489068887767,78,NA,NA,"2022-12-29","10-4",68.1495785552008,205,"19.3-11.7","9.3-8.7"
"18214",64,"Providence","BE",NA,111.554735219325,25,99.1204007130498,122,0.795608673692696,NA,NA,0.504365431695985,41,NA,NA,"2022-12-29","11-3",69.0335287763897,160,"19.9-11.1","11.9-8.1"
"18215",65,"USC","P12",NA,106.71680135324,85,94.9841963172669,59,0.792388456243266,NA,NA,0.0272993249744543,56,NA,NA,"2022-12-29","10-3",70.3235244451033,98,"18.6-12.4","10.6-9.4"
"18216",66,"North Texas","CUSA",NA,102.07380677241,176,91.4875993314427,27,0.778882535834315,NA,NA,-0.230572402673673,61,NA,NA,"2022-12-29","10-3",60.2347058732424,363,"22.3-8.7","13.3-6.7"
"18217",67,"UC Irvine","BW",NA,105.214809159171,105,94.5757175744195,55,0.773106837959577,NA,NA,-1.78056225549704,122,NA,NA,"2022-12-29","7-5",69.3098829652295,147,"22.9-9.1","15.9-4.1"
